iter	Passed	Remaining
0	135	135803
1	136	68128
2	137	45550
3	137	34258
4	138	27511
5	138	23005
6	139	19782
7	140	17365
8	140	15487
9	141	13972
10	141	12731
11	142	11700
12	142	10824
13	143	10078
14	143	9431
15	144	8861
16	144	8368
17	145	7925
18	145	7535
19	146	7183
20	147	6862
21	147	6567
22	148	6303
23	148	6055
24	149	5829
25	149	5618
26	150	5429
27	151	5248
28	151	5082
29	152	4926
30	152	4779
31	153	4641
32	154	4512
33	154	4391
34	155	4277
35	155	4169
36	156	4065
37	156	3970
38	157	3878
39	157	3791
40	158	3707
41	159	3630
42	159	3557
43	160	3486
44	161	3417
45	161	3352
46	162	3289
47	162	3231
48	163	3173
49	164	3118
50	164	3066
51	165	3014
52	165	2964
53	166	2917
54	167	2871
55	167	2827
56	168	2782
57	168	2742
58	169	2702
59	170	2664
60	170	2626
61	171	2590
62	171	2554
63	172	2520
64	172	2485
65	173	2452
66	173	2419
67	174	2387
68	174	2357
69	175	2329
70	175	2300
71	176	2273
72	176	2246
73	177	2220
74	177	2195
75	178	2170
76	179	2146
77	179	2122
78	180	2099
79	180	2076
80	181	2056
81	181	2036
82	182	2014
83	182	1994
84	183	1973
85	183	1955
86	184	1936
87	185	1917
88	185	1899
89	186	1881
90	186	1863
91	187	1846
92	187	1829
93	188	1813
94	188	1798
95	189	1782
96	189	1767
97	190	1752
98	190	1737
99	191	1723
100	192	1709
101	192	1694
102	192	1680
103	193	1668
104	194	1654
105	194	1642
106	195	1630
107	195	1617
108	196	1604
109	196	1592
110	197	1579
111	197	1567
112	198	1555
113	198	1543
114	199	1532
115	199	1521
116	200	1509
117	200	1500
118	201	1490
119	201	1480
120	202	1470
121	202	1459
122	203	1449
123	203	1439
124	204	1429
125	204	1420
126	205	1410
127	205	1400
128	206	1391
129	206	1383
130	207	1374
131	207	1366
132	208	1358
133	208	1349
134	209	1342
135	210	1334
136	210	1326
137	211	1318
138	211	1309
139	211	1301
140	212	1294
141	212	1285
142	213	1278
143	213	1271
144	214	1264
145	214	1256
146	215	1249
147	215	1242
148	216	1235
149	216	1228
150	217	1221
151	217	1215
152	218	1208
153	218	1202
154	219	1196
155	220	1190
156	220	1184
157	220	1177
158	221	1171
159	221	1165
160	222	1158
161	222	1152
162	223	1146
163	223	1140
164	224	1134
165	224	1128
166	225	1123
167	225	1118
168	226	1113
169	226	1108
170	227	1102
171	227	1097
172	228	1092
173	229	1087
174	229	1081
175	229	1076
176	230	1071
177	230	1065
178	231	1061
179	231	1056
180	232	1052
181	233	1047
182	233	1042
183	234	1038
184	234	1033
185	235	1028
186	235	1024
187	236	1019
188	236	1015
189	237	1010
190	237	1006
191	238	1002
192	238	998
193	239	994
194	239	990
195	240	985
196	240	981
197	241	977
198	241	973
199	242	969
200	242	965
201	243	961
202	244	957
203	244	954
204	245	951
205	245	947
206	246	943
207	246	939
208	247	935
209	247	931
210	248	928
211	248	924
212	249	920
213	249	917
214	250	914
215	250	910
